fold,train_start,train_end,validation_start,validation_end,train_profit_factor,train_net_profit,train_trades,validation_profit_factor,validation_net_profit,validation_win_rate,validation_trades,stop_buffer_pct,vwap_tolerance_pct,target_r_multiple
1,2024-01-01,2024-04-29,2024-04-30,2024-05-29,0.14332240272983685,-3.9228714408498035,6,0.0,-4.385933439629184,0.0,2,0.001,0.0015,2.5
2,2024-04-30,2024-08-27,2024-08-28,2024-09-26,0.5653263708140357,-6.09791531721396,8,0.0,0.0,0.0,0,0.001,0.0015,2.5
3,2024-08-28,2024-12-25,2024-12-26,2025-01-24,0.6522866222144734,-2.620567680651675,8,0.0,-2.8430577410163096,0.0,1,0.001,0.0015,2.5
4,2024-12-26,2025-04-24,2025-04-25,2025-05-24,0.09202480700335734,-14.157788016239465,7,11.573548592559753,0.806602612884717,0.5,2,0.001,0.0015,2.5
5,2025-04-25,2025-08-22,2025-08-23,2025-09-21,0.12689267676480726,-6.074862752860554,5,3.864536439561142,5.516228753066571,0.75,4,0.001,0.0015,2.5
6,2025-08-23,2025-12-20,2025-12-21,2026-01-19,1.278776362421293,2.5405745795048915,9,4.647903440920475,6.278133775923266,0.6666666666666666,3,0.001,0.0015,2.5
