fold,train_start,train_end,validation_start,validation_end,train_profit_factor,train_net_profit,train_trades,validation_profit_factor,validation_net_profit,validation_win_rate,validation_trades,stop_buffer_pct,vwap_tolerance_pct,target_r_multiple
1,2024-01-01,2024-04-29,2024-04-30,2024-05-29,0.14332240272983685,-3.9228714408498035,6,0.0,-4.385933439629184,0.0,2,0.001,0.0015,2.5
2,2024-04-30,2024-08-27,2024-08-28,2024-09-26,0.44630422338713494,-7.765479115210951,7,0.0,0.0,0.0,0,0.001,0.0015,2.5
3,2024-08-28,2024-12-25,2024-12-26,2025-01-24,0.4281615927117848,-4.3061620634016435,7,0.0,-2.8430577410163096,0.0,1,0.001,0.0015,2.5
4,2024-12-26,2025-04-24,2025-04-25,2025-05-24,0.0,-15.492352718689858,5,11.573548592559753,0.806602612884717,0.5,2,0.001,0.0015,2.5
5,2025-04-25,2025-08-22,2025-08-23,2025-09-21,0.12689267676480726,-6.074862752860554,5,3.864536439561142,5.516228753066571,0.75,4,0.001,0.0015,2.5
6,2025-08-23,2025-12-20,2025-12-21,2026-01-19,1.5597839492532413,4.125725428469423,7,3.6248659625083905,4.509520694847424,0.5,2,0.001,0.0015,2.5
