opening_range_minutes,impulse_lookback_bars,min_opening_move_pct,min_opening_range_pct,min_relative_volume,fib_lower,fib_upper,vwap_tolerance_pct,max_extension_from_vwap_pct,stop_buffer_pct,risk_per_trade_pct,daily_loss_limit_pct,target_r_multiple,partial_exit_r_multiple,trailing_exit_on_vwap_loss,min_vwap_slope_pct,min_opening_range_close_location,min_regime_strength_pct,max_positions,allow_short,slippage_bps,commission_per_order,folds,avg_train_profit_factor,avg_validation_profit_factor,median_validation_profit_factor,avg_validation_net_profit,total_validation_net_profit,avg_validation_win_rate
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7632333224118729,2.8933871481399382,0.0,1.0792383361661753,6.475430016997052,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7327461822956843,2.8933871481399382,0.0,0.7877323896359295,4.726394337815577,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6789403526598963,2.8933871481399382,0.0,0.4963299038347107,2.9779794230082643,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.273817279663503,2.5113566764336435,0.0,-0.06483021971721807,-0.3889813183033084,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.270734450499687,2.5113566764336435,0.0,-0.27940033960211014,-1.676402037612661,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.254563487268361,2.5113566764336435,0.0,-0.4938669987579563,-2.963201992547738,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.9531560819896034,2.407641593049391,0.0,0.08276404283541676,0.49658425701250053,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.132200987585839,2.407641593049391,0.0,0.08276404283541676,0.49658425701250053,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.9717554274376735,2.407641593049391,0.0,-0.13180607704947533,-0.790836462296852,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,6.166719842749458,2.407641593049391,0.0,-0.13180607704947533,-0.790836462296852,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.96337250461805,2.407641593049391,0.0,-0.3462727362053215,-2.077636417231929,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,8.633170070773234,2.407641593049391,0.0,-0.3462727362053215,-2.077636417231929,0.3333333333333333
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.31969042831486394,0.0,0.040980718328815634,0.2458843099728938,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.31969042831486394,0.0,-0.011836115006133241,-0.07101669003679945,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.31969042831486394,0.0,-0.07152717273013802,-0.4291630363808281,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.31969042831486394,0.0,-0.10807647489993617,-0.6484588493996171,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.283770104265964,0.0,-0.3072162050951306,-1.8432972305707835,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.24625289301219827,0.0,0.01929680620713725,0.11578083724282351,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.24625289301219827,0.0,-0.23721390739931772,-1.4232834443959064,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.24625289301219827,0.0,-0.4935625491234532,-2.9613752947407193,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.24625289301219827,0.0,-0.6216760930296535,-3.730056558177921,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.19910717142854398,0.0,0.6668020490927992,4.000812294556795,0.5555555555555556
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.16842978052409693,0.0,0.2613241803737954,1.5679450822427725,0.5555555555555556
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,2.6073897172276506,0.14467665035541377,0.0,0.1525612981353485,0.915367788812091,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.14467665035541377,0.0,0.1525612981353485,0.915367788812091,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.1587628649362351,0.14467665035541377,0.0,0.09974446480039963,0.5984667888023978,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.14467665035541377,0.0,0.09974446480039963,0.5984667888023978,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.200431636760708,0.14467665035541377,0.0,0.040053407076394855,0.24032044245836914,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.14467665035541377,0.0,0.040053407076394855,0.24032044245836914,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,2.5996633263648223,0.14467665035541377,0.0,0.0035041049065966945,0.021024629439580167,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.14467665035541377,0.0,0.0035041049065966945,0.021024629439580167,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.137752389619648,0.0,0.14717246957637067,0.8830348174582241,0.5555555555555556
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.12241369416742727,0.0,0.35686577575410183,2.141194654524611,0.5555555555555556
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.1827019278075113,0.11735558112051221,0.0,0.20863943555161768,1.251836613309706,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.11735558112051221,0.0,0.20863943555161768,1.251836613309706,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.3050843770649523,0.11735558112051221,0.0,-0.0478712780548373,-0.2872276683290238,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.11735558112051221,0.0,-0.0478712780548373,-0.2872276683290238,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.2636906433693527,0.11735558112051221,0.0,-0.3042199197789728,-1.8253195186738367,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.11735558112051221,0.0,-0.3042199197789728,-1.8253195186738367,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.2645354492870466,0.11735558112051221,0.0,-0.43233346368517306,-2.5940007821110385,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.11735558112051221,0.0,-0.43233346368517306,-2.5940007821110385,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.863126678352762,0.11616484317180009,0.0,-0.23157292363858537,-1.3894375418315121,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.11616484317180009,0.0,-0.23157292363858537,-1.3894375418315121,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.9877912083077595,0.0,0.0,1.76050828478382,10.56304970870292,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6592976476614855,0.0,0.0,1.3924829113863477,8.354897468318086,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.003,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.9032684008661831,0.0,0.0,1.3566615473737897,8.139969284242738,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.0700374868484506,0.0,0.0,1.3435589286414142,8.061353571848485,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,2.0070725076118205,0.0,0.0,1.2847036517053614,7.708221910232169,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.0682080100708344,0.0,0.0,1.2441409678853386,7.464845807312031,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,2.3611049614433193,0.0,0.0,1.2189741503802338,7.313844902281403,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.0,0.0,1.069916957151482,6.419501742908892,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8468631468541328,0.0,0.0,1.038231117127187,6.229386702763122,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.2560498268155404,0.0,0.0,0.973044143011388,5.838264858068328,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.9357634009247225,0.0,0.0,0.7818824754030326,4.691294852418196,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6955203581885074,0.0,0.0,0.572561803078789,3.435370818472734,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8783988749109874,0.0,0.0,0.5560278508441456,3.336167105064874,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,2.310902482905609,0.0,0.0,0.4374714002912394,2.624828401747436,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.0,0.0,0.4374714002912394,2.624828401747436,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.8667082424182373,0.0,0.0,0.34293773867064675,2.0576264320238806,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.0,0.0,0.34293773867064675,2.0576264320238806,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.974547763427994,0.0,0.0,0.1468841071216692,0.8813046427300151,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,,0.0,0.0,0.1468841071216692,0.8813046427300151,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.003,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,1.882105496047507,0.0,0.0,0.09924784393535901,0.5954870636121541,0.5
